idx,seed,n,file,status,obj_val,obj_bound,mip_gap,mip_gap_pct,runtime_s,node_count,sol_count,heur_cost,gurobi_cost,heur_gap_vs_gurobi_pct,optimal
58,1057,10,inst_058.json,2,86.33561967169625,86.32813282416872,8.671794510771746e-05,0.008671794510771746,160.85380911827087,509023,10,87.94097341955165,86.335619945715,1.8594335395356534,1
59,1058,14,inst_059.json,9,116.59135461938018,113.93349740137573,0.02279634906619958,2.279634906619958,1800.0492010116577,1969717,10,117.17061030793029,116.59135562483415,0.4968247259771601,0
60,1059,12,inst_060.json,2,99.25570978177903,99.24603937397812,9.74292342694663e-05,0.00974292342694663,116.40832591056824,203647,10,99.31972193830386,99.25570978177926,0.06449216540321254,1
61,1060,12,inst_061.json,9,106.3035493296652,106.06824802067983,0.002213484972695139,0.22134849726951392,1800.1271998882294,3808450,10,108.50188044636953,106.30355125271267,2.0679734286870906,0
62,1061,10,inst_062.json,9,91.37905081558606,91.36798149827658,0.00012113626931643855,0.012113626931643855,1800.2379457950592,5706830,10,91.68089505636264,91.37905891744276,0.3303121552089721,0
63,1062,10,inst_063.json,2,68.46959488785583,68.46282613229279,9.885782987515212e-05,0.009885782987515213,1501.5131480693817,4184348,10,69.21377764355823,68.46959617807657,1.0868787126276944,1
64,1063,14,inst_064.json,9,101.21453308188036,99.09072561464691,0.020983226445507916,2.0983226445507914,1800.0387949943542,1848878,10,101.87203086465641,101.21453480019784,0.6496063690422503,0
65,1064,15,inst_065.json,9,97.66149710818208,92.54891364605287,0.0523500418641532,5.23500418641532,1800.0294058322906,1493266,10,98.3888255703121,97.66149797600355,0.7447434346002557,0
66,1065,15,inst_066.json,9,88.85420335868447,75.58732743491076,0.14931061696899484,14.931061696899484,1800.025514125824,1098433,10,90.10428418140808,88.85420499162953,1.4068880475564542,0
67,1066,14,inst_067.json,9,99.76891653784793,97.28366243205812,0.02491010418908389,2.491010418908389,1800.022421836853,1357807,10,103.59552823582304,99.76891820544263,3.835473110473856,0
68,1067,10,inst_068.json,9,71.64944214445308,71.52989527552005,0.001668496855732789,0.16684968557327892,1800.0627748966217,4066320,10,73.02899325354781,71.64944304623238,1.9254165122054985,0
69,1068,10,inst_069.json,9,82.87296699322013,82.15843396778803,0.008622027801786801,0.8622027801786801,1800.0699508190155,4343333,10,83.85737834875586,82.87297102557791,1.187850889132622,0
70,1069,15,inst_070.json,9,85.66689130593736,80.80268623864568,0.056780455005895056,5.678045500589506,1800.018921136856,1351770,10,87.52052744163987,85.66689130593807,2.163771916366153,0
71,1070,12,inst_071.json,9,97.43972246943937,96.06848336849669,0.014072690953863896,1.4072690953863896,1800.0711419582367,2894503,10,99.0644270310344,97.4397233692127,1.6673935492052552,0
